Aircraft Type,Country,Type_of_Travellers,Route,Seat_Types,Seat Comfort,Date Flown,Cabin Staff Service,Ground Service,Food & Beverages,Wifi & Connectivity,Inflight Entertainment,Value For Money,Recommended
A320,United Kingdom,Couple Leisure,London Heathrow to Tokyo,Economy Class,1.00,23-Sep,1.00,2.00,1.00,1.70,3.00,1.00,no
A320,United States,Solo Leisure,Miami to Dublin via London Heathrow,Business Class,1.00,23-Aug,3.00,1.00,2.00,1.00,1.00,1.00,no
A320,United States,Business,Prague to San Francisco via London,Business Class,1.00,23-Sep,3.00,1.00,3.00,1.00,1.70,1.00,no
A320,United Kingdom,Business,London to Glasgow,Economy Class,1.00,23-Sep,1.00,1.00,1.00,1.00,1.00,1.00,no
A320,France,Family Leisure,San Diego to Marseille via London ,Economy Class,3.00,23-Aug,2.00,1.00,3.00,1.00,3.00,3.00,no
A350,Germany,Business,Hamburg to Las Vegas via London,Premium Economy,2.00,23-Aug,2.00,1.00,2.00,1.70,3.00,1.00,no
A320,Switzerland,Family Leisure,London to Los Angeles,Economy Class,1.00,23-Jul,2.30,1.30,2.00,1.00,1.70,1.00,no
A320,United Kingdom,Couple Leisure,London Heathrow to Porto,Business Class,3.00,23-Sep,4.00,4.00,3.00,2.70,2.70,4.00,yes
A320,United Kingdom,Couple Leisure,London to Dalaman,Economy Class,2.67,23-Sep,2.00,3.00,1.30,1.70,2.70,1.00,no
A320,South Africa,Solo Leisure,Johannesburg to Milan via London,Economy Class,2.33,23-Sep,2.70,1.00,2.00,1.00,2.30,2.00,no
A320,Canada,Business,Madrid to Vancouver via London,Business Class,3.00,23-Apr,3.00,1.00,1.70,1.30,2.70,1.00,no
Boeing 787,United Kingdom,Couple Leisure,London to Santiago,Business Class,3.00,23-Sep,5.00,2.00,4.00,3.30,3.00,5.00,yes
A320,United Kingdom,Couple Leisure,London Heathrow to Faro,Business Class,1.00,23-Sep,2.30,1.00,2.00,1.00,1.70,1.00,no
A320,Kuwait,Solo Leisure,Kuwait to Lisbon via London,Economy Class,3.00,23-Sep,1.00,3.00,1.00,1.00,1.00,3.00,no
A320,Germany,Couple Leisure,London to Munich,Economy Class,1.00,23-Sep,3.00,1.00,1.00,1.00,1.00,1.00,no
A320,United Kingdom,Solo Leisure,Frankfurt to London City,Economy Class,1.00,23-Sep,2.30,1.00,2.00,1.00,1.00,1.00,no
A321,Iceland,Couple Leisure,London to Keflavik,Business Class,3.00,23-Aug,4.00,4.00,3.00,3.00,2.30,4.00,yes
Boeing 777-200,Iceland,Couple Leisure,Mumbai to London,Business Class,4.00,23-Aug,3.00,4.00,3.00,3.00,3.00,4.00,yes
A320,United Kingdom,Business,Houston to London Heathrow,Premium Economy,2.00,23-Sep,4.00,4.00,3.00,2.00,3.00,1.00,no
A380,Australia,Solo Leisure,London to Miami,Business Class,1.00,23-Sep,1.00,3.00,2.00,1.00,1.00,1.00,no
Boeing 777,United Kingdom,Couple Leisure,Los Angeles to London,Economy Class,1.00,23-Aug,1.00,1.00,1.00,1.00,1.00,1.00,no
A320,United States,Couple Leisure,New York JFK to Malaga via London,Economy Class,1.00,23-Jun,3.00,1.00,2.00,1.00,1.00,1.00,no
A320,United States,Couple Leisure,Chicago to Rome via London,Premium Economy,3.00,23-Jul,1.00,1.00,1.00,1.00,1.00,1.00,no
A320,United Kingdom,Solo Leisure,London to Malaga,Business Class,1.00,23-Aug,1.00,1.00,1.00,1.00,1.00,1.00,no
A320,Germany,Solo Leisure,Frankfurt to London Heathrow,Economy Class,1.00,23-Aug,1.00,1.00,1.00,1.00,1.00,1.00,no
A320,United Kingdom,Couple Leisure,Tenerife to Gatwick,Business Class,1.00,23-Aug,3.00,1.00,1.00,1.00,1.00,1.00,no
A320,United Kingdom,Business,London Heathrow to Malaga ,Business Class,2.00,23-Aug,2.00,1.00,2.00,1.00,1.30,2.00,no
A320,United Kingdom,Couple Leisure,Newark to London,Economy Class,1.00,23-Jun,2.30,1.30,2.00,1.00,1.70,1.00,no
